Epoch,Num trials,Number correct,Time
0,1077,174,590.6236170330085
1,1077,512,590.5286059739883
2,1077,591,590.5393517860211
3,1077,709,590.5501936789951
4,1077,732,590.5403726329678
5,1077,704,590.6920037519885
6,1077,810,590.5618153249961
7,1077,879,590.5939338349854
8,1077,934,590.5472520799958
9,1077,920,590.5401439359994
10,1077,932,590.606512094033
11,1077,951,590.5993232479668
12,1077,988,590.5769635500037
13,1077,978,590.5547849769937
14,1077,1000,590.575281879981
15,1077,999,590.555515827029
16,1077,1024,590.5824662590167
17,1077,1029,590.5614714620169
18,1077,1041,590.5728098209947
19,1077,1040,590.5813382089837
20,1077,1043,590.3885384320165
21,1077,1016,590.5959490900277
22,1077,1015,590.4507382030133
23,1077,961,590.4305897480226
24,1077,981,590.4673499840428
25,1077,952,590.4585356079624
26,1077,955,590.4911361130071
27,1077,904,590.4858630490489
28,1077,955,590.4463150519878
29,1077,973,590.5411103380029
30,1077,990,590.4920846649911
31,1077,1024,590.4640248480137
32,1077,1009,590.4588844550308
33,1077,1061,590.4465881020296
34,1077,1039,590.5039814009797
35,1077,1062,590.4625184140168
36,1077,1051,590.4768684189767
37,1077,1062,590.4426520729903
38,1077,1064,590.4545336909941
39,1077,1064,590.6847504519974
40,1077,1067,590.465842620004
41,1077,1063,590.4704392869608
42,1077,1070,590.4823536250042
43,1077,1073,590.4637932240148
44,1077,1063,590.4416013190057
45,1077,1066,590.4699949329952
46,1077,1072,590.4373003569781
47,1077,1071,590.4599922099733
48,1077,1069,590.4239613829996
49,1077,1072,590.4705274160369
50,1077,1072,590.4428381270263
51,1077,1071,590.4253597339848
52,1077,1072,590.4339615700301
53,1077,1069,590.621348294022
54,1077,1073,590.4752343670116
55,1077,1073,590.4424474239931
56,1077,1072,590.4340758090257
57,1077,1075,590.4775352069992
58,1077,1076,590.4497050259961
59,1077,1075,590.4476170180133
60,1077,1075,590.6476321200025
61,1077,1076,590.4316250939737
62,1077,1077,590.4607461189735
63,1077,1073,590.49143525603
64,1077,1076,590.5378910879954
65,1077,1077,590.4821363179944
66,1077,1073,590.4833272550022
67,1077,1076,590.4591828740085
68,1077,1077,590.4803211379913
69,1077,1076,590.4721217909828
70,1077,1073,590.4502554479986
71,1077,1075,590.4850447470089
72,1077,1077,590.4543358529918
73,1077,1076,590.4829077920294
74,1077,1075,590.4634266310022
75,1077,1077,590.4411327590351
76,1077,1077,590.4774225070141
77,1077,1076,590.4622930979822
78,1077,1076,590.4602621730301
79,1077,1077,590.4784343849751
80,1077,1076,590.4841419299482
81,1077,1077,590.4684677980258
82,1077,1077,590.4745270080166
83,1077,1076,590.4810380559647
84,1077,1077,590.5134190859972
85,1077,1076,590.4742449589539
86,1077,1076,590.4666149889817
87,1077,1077,590.4485711349989
88,1077,1076,590.4831695180037
89,1077,1076,590.4489037669846
90,1077,1077,590.4732270360109
91,1077,1076,590.452731774014
92,1077,1076,590.5108221179689
93,1077,1076,590.4606939629884
94,1077,1076,590.5268836080213
95,1077,1076,590.5002683749772
96,1077,1076,590.5084324800409
97,1077,1076,590.4977456529741
98,1077,1077,590.461175444012
99,1077,1077,590.51011500397
