Epoch,Num trials,Number correct,Time
0,1077,203,1642.4743461780017
1,1077,451,1642.2584341319744
2,1077,555,1642.2311254160013
3,1077,636,1642.1926154799876
4,1077,664,1642.218008794007
5,1077,763,1642.192902527051
6,1077,799,1642.195654116047
7,1077,923,1642.1472078909865
8,1077,887,1642.1937120429939
9,1077,933,1642.16527884698
10,1077,954,1642.1498458179994
11,1077,959,1642.1969261749764
12,1077,994,1642.1715009469772
13,1077,993,1642.1615236650105
14,1077,1015,1642.1604319280013
15,1077,1009,1642.1815826870152
16,1077,1020,1642.1921501490287
17,1077,1032,1642.1786856940016
18,1077,1038,1642.1819292409928
19,1077,1033,1642.2009999169968
20,1077,1041,1642.1885716099641
21,1077,1044,1642.2122547929757
22,1077,1048,1642.1794257629663
23,1077,1050,1642.204231074953
24,1077,1053,1642.2186943480046
25,1077,1057,1642.2217020859825
26,1077,1060,1642.193556426966
27,1077,1061,1642.191359635035
28,1077,1063,1642.2314823010238
29,1077,1063,1642.2070297129685
30,1077,1063,1642.2200114619918
31,1077,1062,1642.2090384949697
32,1077,1065,1642.2206497129519
33,1077,1065,1642.2447271700366
34,1077,1065,1642.2123053150135
35,1077,1065,1642.273163167003
36,1077,1065,1642.236053419998
37,1077,1067,1642.2197940080077
38,1077,1068,1642.2190278029884
39,1077,1069,1642.2165927870083
40,1077,1070,1642.2481819199747
41,1077,1070,1642.2361776590114
