Epoch,Num trials,Number correct,Time
0,1077,165,63.3492025679443
1,1077,412,63.41928971512243
2,1077,469,63.44788557686843
3,1077,503,63.32563206902705
4,1077,552,63.42635491816327
5,1077,601,63.55369070917368
6,1077,663,63.53825940005481
7,1077,709,63.34604752599262
8,1077,720,63.43897608993575
9,1077,753,63.56297142710537
10,1077,776,63.61973086418584
11,1077,790,63.35987844388001
12,1077,793,63.25681784981862
13,1077,806,63.510046360082924
14,1077,841,63.47418018290773
15,1077,852,63.35147553891875
16,1077,858,63.34859169414267
17,1077,859,63.454218928003684
18,1077,871,63.57480772398412
19,1077,886,63.33438733895309
20,1077,886,63.29604199202731
21,1077,902,63.47791195008904
22,1077,909,63.37350214505568
23,1077,916,63.455616852035746
24,1077,917,63.35112972185016
25,1077,924,63.27279683202505
26,1077,927,63.45733886701055
27,1077,927,63.39776070090011
28,1077,923,63.45931054488756
29,1077,917,63.30886294390075
30,1077,908,63.34396986407228
31,1077,916,63.434649677947164
32,1077,914,63.46868947893381
33,1077,917,63.315528373932466
34,1077,919,65.36217634403147
35,1077,923,63.38389189215377
36,1077,933,63.39923396310769
37,1077,939,63.501576747046784
38,1077,940,63.54454236407764
39,1077,944,63.371951329987496
40,1077,953,63.36952951387502
41,1077,956,63.47289534891024
42,1077,952,84.87227116292343
43,1077,955,63.51203841320239
44,1077,957,63.473110903054476
45,1077,955,63.43710612296127
46,1077,953,63.584137986879796
47,1077,955,63.42042936384678
48,1077,962,63.50051497993991
49,1077,961,63.333519831998274
50,1077,958,63.43224072386511
51,1077,960,63.28294431907125
52,1077,966,63.291862291051075
53,1077,970,63.42152762203477
54,1077,971,63.27596310782246
55,1077,970,63.363735707011074
56,1077,970,63.26833888608962
57,1077,970,63.283993212040514
58,1077,971,63.562987631885335
59,1077,973,63.35308290994726
60,1077,975,63.26505468599498
61,1077,978,63.42906095809303
62,1077,979,63.44603976397775
63,1077,974,63.29811704298481
64,1077,981,63.4710357428994
65,1077,984,63.37632539914921
66,1077,983,63.59722091490403
67,1077,978,63.4411957829725
68,1077,988,63.349172509042546
69,1077,997,63.26398672303185
70,1077,996,63.36201377213001
71,1077,995,63.49048346094787
72,1077,996,63.30326319509186
73,1077,998,63.39223898504861
74,1077,999,63.42542017088272
75,1077,1001,63.4060340099968
76,1077,1003,63.39875881699845
77,1077,1002,63.435050904983655
78,1077,1005,63.40615315292962
79,1077,1005,63.593164765043184
80,1077,1005,63.50976020703092
81,1077,999,63.46569624589756
82,1077,1000,63.3916542660445
83,1077,999,63.32632578583434
84,1077,1002,63.51464668684639
85,1077,1002,63.42167227109894
86,1077,1003,63.53933330299333
87,1077,1003,63.53914860612713
88,1077,1006,63.39194060396403
89,1077,1010,63.54584998684004
90,1077,1005,63.51274041598663
91,1077,1007,63.42764507886022
92,1077,1009,63.492535601137206
93,1077,1012,63.47989395796321
94,1077,1011,63.37631701398641
95,1077,1011,63.43792010913603
96,1077,1012,63.44863284309395
97,1077,1015,63.57538134092465
98,1077,1018,63.41179286316037
99,1077,1022,63.553582745138556
